cc_num,first,last,gender,street,city,state,zip,lat,long,job,dob
8064288314906524,Robert,Moore,F,1925 Maple St,Phoenix,AZ,59806,33.641247,-111.901121,Manager,1997-01-20
3032194465146141,William,Martin,M,4665 Oak St,San Jose,CA,62408,37.58613,-121.4823,Pilot,1977-03-22
1802030330163117,John,Martin,F,4311 Oak St,Phoenix,AZ,24452,33.737611,-112.420944,Plumber,1955-08-15
8473943257063813,David,White,M,1361 Pine St,San Antonio,TX,11853,29.607164,-98.691445,Electrician,1985-12-14
2209021357656361,William,Taylor,F,9231 Cedar St,Philadelphia,PA,22458,39.751103,-74.971395,Analyst,1989-07-07
4881119722433088,Susan,Wilson,M,8134 Main St,Chicago,IL,89248,41.791596,-87.740137,Teacher,1972-12-27
2396599367372524,Noah,Williams,M,7223 Maple St,Phoenix,AZ,18534,33.304688,-112.022613,Manager,1976-01-08
7394450102221881,David,Martin,M,1146 Pine St,New York,NY,31790,41.032031,-73.90217,Nurse,1998-07-22
8952647100900895,David,Lee,F,8223 Maple St,San Diego,CA,50243,32.260555,-117.349617,Chef,1977-12-05
1910823147629107,Olivia,Smith,M,8291 Pine St,San Diego,CA,90203,32.366103,-117.090092,Software Engineer,1964-10-08
0179830377723580,William,Thomas,F,6782 Cedar St,San Diego,CA,70559,32.696091,-116.712415,Plumber,1952-09-26
1397817063195628,Robert,Jackson,M,3428 Cedar St,Philadelphia,PA,56248,39.453738,-75.197235,Police Officer,1992-01-07
8237292534406135,Barbara,Martinez,M,2786 Main St,Dallas,TX,24353,33.180904,-96.487509,Nurse,1975-04-21
7569307388430065,David,White,F,6514 Maple St,New York,NY,76516,40.724661,-73.629374,Doctor,1963-07-18
8603955679180763,Ava,White,M,9395 Cedar St,Philadelphia,PA,20644,40.284406,-75.165027,Pilot,1987-11-19
4281563126565696,Ava,Brown,F,2002 Cedar St,Phoenix,AZ,30340,33.810352,-111.738903,Architect,1951-06-19
2677298065419811,William,Lee,M,6145 Cedar St,Chicago,IL,87667,42.111996,-87.76405,Sales Rep,1962-10-27
5763935042551410,David,Garcia,F,100 Maple St,Chicago,IL,33616,42.156184,-87.390216,Sales Rep,2004-02-06
8241504170569637,Ava,Brown,F,9942 Main St,San Jose,CA,33899,37.444895,-122.210748,Electrician,1968-05-19
5711301022333512,David,Jackson,F,6232 Main St,San Jose,CA,69513,37.453802,-122.151496,Doctor,1983-12-23
4776328805576019,Noah,Davis,M,3419 Main St,New York,NY,85658,41.174522,-74.236216,Accountant,1974-02-10
1089735083261333,Liam,White,F,3228 Oak St,San Antonio,TX,23102,29.253137,-98.135975,Pilot,1979-10-27
9124436890075230,Robert,White,M,2972 Main St,New York,NY,48200,40.843355,-73.932937,Nurse,1971-11-06
0851435240839668,Jennifer,Anderson,M,2658 Cedar St,San Jose,CA,21533,37.382352,-122.364324,Lawyer,1998-03-25
0407279616568985,Susan,Smith,M,2753 Cedar St,San Antonio,TX,66093,29.008371,-98.82527,Sales Rep,1965-02-12
8665837030581638,Barbara,Smith,M,2139 Pine St,Dallas,TX,70158,32.412168,-96.726079,Chef,1972-06-21
8313937267374230,Mary,Jackson,M,610 Cedar St,Phoenix,AZ,30417,33.154141,-111.895475,Software Engineer,1974-07-21
4352152226458044,Jennifer,Lee,F,6443 Main St,New York,NY,48068,40.996139,-74.478859,Police Officer,1990-03-22
0395176978030461,Liam,Moore,M,2852 Cedar St,Dallas,TX,97854,32.432462,-96.349991,Electrician,1975-04-23
3480081031156867,Ava,Martinez,M,1693 Main St,Chicago,IL,74733,42.263584,-87.83421,Accountant,1999-03-28
5146148804507547,Noah,Jones,F,7497 Cedar St,San Jose,CA,21269,36.900703,-121.430188,Architect,1961-12-21
2376495227526551,Mary,White,M,4415 Oak St,San Antonio,TX,50414,29.650844,-98.570084,Manager,1965-11-02
5290422493553279,Olivia,Moore,F,5806 Pine St,San Jose,CA,19533,37.343731,-121.555854,Analyst,1989-09-27
4795732435447603,Jennifer,Smith,M,9359 Pine St,Dallas,TX,59987,33.215428,-96.848367,Lawyer,1975-12-12
8267340657060272,Patricia,White,M,980 Pine St,Phoenix,AZ,29480,33.277502,-112.277453,Chef,1992-03-25
2883040256740177,Sophia,Moore,F,3386 Cedar St,San Diego,CA,73671,32.61549,-117.170515,Chef,1988-12-17
4044293476937238,John,Rodriguez,F,7172 Maple St,San Antonio,TX,61615,29.854703,-98.896095,Sales Rep,1965-08-21
3327203266796244,Robert,Johnson,M,9353 Oak St,Los Angeles,CA,54199,34.322216,-117.935638,Pilot,1976-09-04
5927898623929195,Mason,Wilson,M,4967 Oak St,Los Angeles,CA,19110,34.180744,-118.076343,Architect,1954-06-02
3071648965877944,William,Lee,F,8802 Main St,Los Angeles,CA,41969,33.963461,-117.943421,Teacher,1953-05-10
3762737110879404,John,Thomas,M,3561 Pine St,Dallas,TX,49350,32.962191,-96.695904,Accountant,1972-07-20
3415380767212535,Linda,Wilson,F,7938 Main St,San Antonio,TX,52721,29.900042,-98.705197,Pilot,1976-05-03
0347715046357224,Linda,Anderson,M,2458 Oak St,New York,NY,44743,40.669613,-73.633605,Plumber,1959-09-06
5326914287836201,David,Davis,F,9185 Pine St,Phoenix,AZ,99495,33.774935,-111.839506,Analyst,1991-03-26
8084465805012164,Barbara,Jones,F,4894 Pine St,Chicago,IL,59097,41.540952,-88.101529,Doctor,1963-12-09
9295893557116983,David,Miller,M,9577 Maple St,San Diego,CA,45901,32.356397,-117.330413,Software Engineer,1998-08-02
7594848607176064,Robert,Martin,F,5826 Cedar St,Chicago,IL,88557,41.700695,-88.061633,Police Officer,1997-10-03
1145643066556833,Susan,Lee,F,9210 Maple St,San Jose,CA,23352,37.82229,-121.57443,Nurse,1954-11-21
9421373584802201,Patricia,Johnson,F,4475 Maple St,Los Angeles,CA,85306,33.605725,-118.587904,Architect,1998-08-13
0667824613862534,John,Johnson,F,145 Oak St,Chicago,IL,18822,41.829782,-87.304317,Doctor,1966-07-12
4466514285658574,Michael,Taylor,M,2778 Pine St,San Antonio,TX,27945,29.22821,-98.14151,Manager,1959-07-01
1126530683708725,James,Garcia,M,8517 Pine St,Chicago,IL,44589,41.977996,-87.984095,Doctor,1973-09-20
6163177164914476,James,Jones,F,5595 Cedar St,Los Angeles,CA,50961,33.702366,-118.64902,Manager,1972-06-22
4700057268373622,Mason,Lee,M,4318 Maple St,Phoenix,AZ,11298,33.896714,-111.688332,Manager,1961-12-06
6426101598452587,James,Moore,F,1530 Maple St,San Antonio,TX,96647,29.760089,-98.70117,Pilot,1986-06-25
5465470503755444,Susan,Martin,M,572 Oak St,Phoenix,AZ,45911,32.983035,-112.447989,Lawyer,1954-03-16
3997521271313624,Linda,Miller,F,3410 Oak St,Los Angeles,CA,77641,33.696462,-118.309389,Doctor,1989-06-15
4063006216173084,David,Wilson,F,8926 Main St,New York,NY,72895,40.285154,-73.730725,Nurse,1979-01-05
1877605796957065,James,Garcia,F,5724 Cedar St,Los Angeles,CA,84294,34.281848,-117.921253,Electrician,1980-05-09
1299192172080489,Sophia,Smith,M,3194 Maple St,Dallas,TX,43211,32.439944,-97.059108,Plumber,1987-01-14
4585322710744169,Mary,Miller,M,3987 Main St,Chicago,IL,77590,41.684149,-87.363943,Lawyer,1960-09-05
8507095153473160,James,Garcia,M,7568 Maple St,San Jose,CA,88318,37.702543,-121.908276,Accountant,1963-06-27
5473430771341196,Sophia,Garcia,M,6832 Cedar St,New York,NY,71385,40.345034,-74.236799,Doctor,1980-07-12
4783173784783911,Ava,Martinez,M,6423 Maple St,New York,NY,41173,40.322355,-74.047792,Electrician,1990-09-08
7152074834362289,John,Taylor,M,1400 Cedar St,Los Angeles,CA,44582,34.169337,-117.812094,Police Officer,1983-09-18
0315459950669608,Liam,Martin,M,6345 Cedar St,Chicago,IL,49569,41.526951,-87.518733,Plumber,1981-05-17
1941223288993302,John,Rodriguez,M,9180 Oak St,Philadelphia,PA,33460,39.923958,-74.815981,Electrician,1974-08-06
9645835739616732,Olivia,Martinez,F,3465 Cedar St,Phoenix,AZ,39631,33.385627,-112.490053,Manager,1994-12-17
4490929161639068,Barbara,Lee,M,1806 Cedar St,Phoenix,AZ,37510,33.392209,-112.247925,Chef,1992-08-01
1443099009469702,Sophia,Davis,M,6212 Maple St,Philadelphia,PA,58670,40.313492,-75.62201,Teacher,1991-12-15
3734775677011344,Ava,White,F,8383 Main St,New York,NY,15094,40.384883,-73.649953,Analyst,1962-10-19
5497394365978604,Linda,Garcia,F,5111 Maple St,Phoenix,AZ,18505,33.247974,-112.430042,Doctor,1983-08-02
7755092385578892,Susan,Moore,F,3149 Main St,Philadelphia,PA,80668,39.864661,-75.442033,Manager,1976-11-04
5657292569671020,Michael,Miller,F,1052 Cedar St,New York,NY,70092,40.931102,-73.578634,Chef,1965-06-14
1834253661487277,Ava,Garcia,F,1867 Maple St,Chicago,IL,78855,41.715639,-87.369841,Plumber,2000-04-18
0267814821233846,William,Lee,M,9123 Cedar St,Dallas,TX,11953,33.215494,-96.274635,Doctor,1970-03-16
0183849452662414,Liam,Jackson,M,3935 Main St,Los Angeles,CA,14593,34.372022,-117.944437,Manager,1969-09-19
